feedback_id,feedback_text,rating,metro_line,station,feedback_date,journey_type,issue_category,subtopic,sentiment,sentiment_score,urgency,passenger_type,resolution_status,language,data_source,processed_text,dominant_topic_id,discovered_topic
MPF00012,Train service was running late today. Please improve punctuality.,1,Line 7,Dindoshi,2026-08-31,Daily commute,Delay,missed_connection,Negative,-0.51,High,General,Resolved,English,Synthetic Review,train service running late today please improve punctuality,2,Train Service Delays & Inconvenience
MPF00013,"In my experience, Better last-mile connectivity would help passengers.",3,Line 2A,Kandarpada,2026-03-05,Shopping,Connectivity,interchange,Neutral,0.04,Medium,Senior citizen,Resolved,English,Synthetic Survey,experience better lastmile connectivity would help passenger,7,Train & Platform Overcrowding
MPF00014,"Overall, Train service was running late today. Please improve punctuality.",1,Line 1,Versova,2026-05-12,Other,Delay,late_train,Negative,-0.91,High,Student,In Review,English,Synthetic Survey,overall train service running late today please improve punctuality,2,Train Service Delays & Inconvenience
MPF00015,"In my experience, The staff member at the counter was rude and unhelpful.",2,Line 7,Jogeshwari East,2026-04-21,Shopping,Staff Behaviour,staff_helpfulness,Negative,-0.67,High,Tourist,Not Required,English,Synthetic Complaint,experience staff member counter rude unhelpful,5,Station Staff Behavior & Security
MPF00016,The station has clean lifts and working escalators.,4,Line 3,Marol Naka,2026-02-05,College,Facilities,escalator,Positive,0.71,Low,Student,Resolved,English,Synthetic Review,station clean lift working escalator,1,Escalator & Lift Operational Maintenance
MPF00017,"Today, The lift was out of service and caused inconvenience.",3,Line 2A,Kandarpada,2026-02-12,Other,Facilities,escalator,Neutral,-0.08,Medium,General,Not Required,Hinglish,Synthetic Survey,today lift service caused inconvenience,2,Train Service Delays & Inconvenience
MPF00018,"Overall, Please train staff to respond more politely to passengers.",2,Line 3,Marol Naka,2026-04-19,Shopping,Staff Behaviour,security_assistance,Negative,-0.95,High,Senior citizen,Resolved,Hinglish,Synthetic Review,overall please train staff respond politely passenger,7,Train & Platform Overcrowding
MPF00019,"Overall, Too many passengers were packed into the train today.",1,Line 6,Vikhroli,2026-05-30,Tourism,Crowding,door_area_crowding,Negative,-0.6,High,Student,Not Required,English,Synthetic Survey,overall many passenger packed train today,7,Train & Platform Overcrowding
MPF00020,The coach was extremely crowded during peak hours.,2,Line 6,Kanjurmarg,2026-06-02,Daily commute,Crowding,peak_hour_crowding,Negative,-0.91,High,Working professional,Open,English,Synthetic Complaint,coach extremely crowded peak hour,0,Coach & Infrastructure Maintenance
MPF00021,"Overall, Good value for money compared with other transport options.",5,Line 6,Swami Samarth Nagar,2026-08-26,Shopping,Fare,fare_value,Positive,0.65,Low,Working professional,Not Required,English,Synthetic Review,overall good value money compared transport option,0,Coach & Infrastructure Maintenance
MPF00022,"In my experience, The coach condition was good and everything looked maintained.",5,Line 1,Azad Nagar,2026-02-10,Work,Maintenance,equipment,Positive,0.75,Low,Senior citizen,Not Required,Hinglish,Synthetic Review,experience coach condition good everything looked maintained,0,Coach & Infrastructure Maintenance
MPF00023,"In my experience, The coach condition was good and everything looked maintained.",5,Line 6,Shyam Nagar,2026-02-09,Daily commute,Maintenance,equipment,Positive,0.92,Low,Working professional,Resolved,English,Synthetic Complaint,experience coach condition good everything looked maintained,0,Coach & Infrastructure Maintenance
MPF00024,"During my trip, Security staff guided me properly when I asked for help.",5,Line 7,Mogharpada,2026-03-27,Daily commute,Staff Behaviour,staff_politeness,Positive,0.75,Low,Student,Not Required,English,Synthetic Survey,trip security staff guided properly asked help,5,Station Staff Behavior & Security
MPF00025,More seating and drinking water facilities are needed.,2,Line 7,Dindoshi,2026-05-22,Other,Facilities,lift,Negative,-0.9,High,Working professional,In Review,English,Synthetic Complaint,seating drinking water facility needed,6,Station Seating & Signage Amenities
MPF00026,Very little waiting time today; the train arrived on schedule.,5,Line 3,MIDC,2026-02-09,Work,Delay,late_train,Positive,0.63,Low,Student,Resolved,English,Synthetic Complaint,little waiting time today train arrived schedule,7,Train & Platform Overcrowding
MPF00027,"During my trip, The fare is reasonable for the service provided.",4,Line 2A,Shimpoli,2026-08-08,Other,Fare,fare_complaint,Positive,0.87,Low,Working professional,Not Required,English,Synthetic Survey,trip fare reasonable service provided,2,Train Service Delays & Inconvenience
MPF00028,"Overall, The seating area and signage were useful.",4,Line 2A,Shimpoli,2026-06-14,Work,Facilities,seating_and_water,Positive,0.56,Low,Tourist,Not Required,English,Synthetic Review,overall seating area signage useful,6,Station Seating & Signage Amenities
MPF00029,"During my trip, I felt safe throughout the journey and at the station.",5,Line 3,BKC,2026-07-21,College,Safety,security_presence,Positive,0.78,Low,Student,Not Required,English,Synthetic Complaint,trip felt safe throughout journey station,4,Ticket Pricing & Short Distance Fares
MPF00030,"In my experience, The metro connection to other transport was convenient.",5,Line 3,BKC,2026-01-18,Other,Connectivity,last_mile,Positive,0.65,Low,Tourist,Not Required,English,Synthetic Review,experience metro connection transport convenient,3,Daily Commuter Fare Structure & Review
MPF00031,"During my trip, I felt safe throughout the journey and at the station.",5,Line 7,Mogharpada,2026-02-19,Shopping,Safety,security_presence,Positive,0.67,Low,Senior citizen,Resolved,English,Synthetic Survey,trip felt safe throughout journey station,4,Ticket Pricing & Short Distance Fares
MPF00032,"In my experience, The station infrastructure appeared well maintained.",3,Line 3,MIDC,2026-04-24,Work,Maintenance,equipment,Neutral,-0.04,Medium,Tourist,In Review,English,Synthetic Review,experience station infrastructure appeared well maintained,0,Coach & Infrastructure Maintenance
MPF00033,The lift was out of service and caused inconvenience.,2,Line 2A,Goregaon West,2026-03-21,Other,Facilities,lift,Negative,-0.64,High,General,Open,English,Synthetic Complaint,lift service caused inconvenience,2,Train Service Delays & Inconvenience
MPF00034,"Today, The train was delayed by 10 minutes and I missed my connection.",3,Line 2A,Shimpoli,2026-06-28,Daily commute,Delay,service_frequency,Neutral,0.07,Medium,Tourist,Open,English,Synthetic Complaint,today train delayed 10 minute missed connection,7,Train & Platform Overcrowding
MPF00035,The staff member at the counter was rude and unhelpful.,1,Line 3,Marol Naka,2026-05-23,Work,Staff Behaviour,staff_politeness,Negative,-0.48,High,Working professional,Resolved,English,Synthetic Survey,staff member counter rude unhelpful,5,Station Staff Behavior & Security
MPF00036,"In my experience, Crowding near the doors made boarding difficult.",3,Line 1,Azad Nagar,2026-04-25,Shopping,Crowding,peak_hour_crowding,Neutral,0.02,Medium,General,Resolved,English,Synthetic Complaint,experience crowding near door made boarding difficult,3,Daily Commuter Fare Structure & Review
MPF00037,"During my trip, The ticket machine was not working and caused a queue.",3,Line 3,Marol Naka,2026-03-11,Work,Ticketing,counter_queue,Neutral,-0.0,Medium,Senior citizen,In Review,English,Synthetic Survey,trip ticket machine working caused queue,1,Escalator & Lift Operational Maintenance
MPF00038,"Overall, The station floor was dirty and bins were overflowing.",2,Line 7,Mogharpada,2026-05-19,Other,Cleanliness,station_cleanliness,Negative,-0.53,High,Working professional,Resolved,English,Synthetic Review,overall station floor dirty bin overflowing,5,Station Staff Behavior & Security
MPF00039,"In my experience, Please train staff to respond more politely to passengers.",1,Line 3,Aarey JVLR,2026-07-12,Tourism,Staff Behaviour,staff_helpfulness,Negative,-0.44,High,Tourist,In Review,English,Synthetic Review,experience please train staff respond politely passenger,7,Train & Platform Overcrowding
MPF00040,"Overall, It was difficult to connect from the metro to the bus stop.",2,Line 3,BKC,2026-02-12,Daily commute,Connectivity,bus_connection,Negative,-0.69,High,Tourist,Resolved,English,Synthetic Complaint,overall difficult connect metro bus stop,3,Daily Commuter Fare Structure & Review
MPF00041,"In my experience, The metro connection to other transport was convenient.",5,Line 2A,Goregaon West,2026-03-08,Daily commute,Connectivity,bus_connection,Positive,0.82,Low,Tourist,Not Required,English,Synthetic Survey,experience metro connection transport convenient,3,Daily Commuter Fare Structure & Review
MPF00042,"Today, The seating area and signage were useful.",4,Line 7,Dindoshi,2026-05-19,Shopping,Facilities,lift,Positive,0.85,Low,Senior citizen,Not Required,Hinglish,Synthetic Complaint,today seating area signage useful,6,Station Seating & Signage Amenities
MPF00043,"Overall, The coach was clean and well maintained.",5,Line 7,Dindoshi,2026-05-25,Tourism,Cleanliness,coach_cleanliness,Positive,0.89,Low,Working professional,Resolved,English,Synthetic Survey,overall coach clean well maintained,0,Coach & Infrastructure Maintenance
MPF00044,"In my experience, The platform was overcrowded and felt unsafe.",1,Line 3,SEEPZ,2026-06-23,Work,Safety,security_presence,Negative,-0.48,High,Senior citizen,In Review,English,Synthetic Complaint,experience platform overcrowded felt unsafe,7,Train & Platform Overcrowding
MPF00045,"During my trip, The station floor was dirty and bins were overflowing.",3,Line 3,MIDC,2026-04-05,Tourism,Cleanliness,coach_cleanliness,Neutral,0.06,Medium,Student,Resolved,English,Synthetic Complaint,trip station floor dirty bin overflowing,5,Station Staff Behavior & Security
MPF00046,Frequent delays on this route are becoming difficult for daily commuters.,2,Line 6,Shyam Nagar,2026-05-14,Other,Delay,missed_connection,Negative,-0.37,High,Tourist,Open,English,Synthetic Complaint,frequent delay route becoming difficult daily commuter,3,Daily Commuter Fare Structure & Review
MPF00047,"Today, Better last-mile connectivity would help passengers.",4,Line 7,Mogharpada,2026-05-26,Work,Connectivity,last_mile,Positive,0.66,Low,Student,Not Required,English,Synthetic Review,today better lastmile connectivity would help passenger,7,Train & Platform Overcrowding
MPF00048,"Overall, Frequent delays on this route are becoming difficult for daily commuters.",2,Line 3,SEEPZ,2026-05-13,College,Delay,late_train,Negative,-0.82,High,Senior citizen,Resolved,English,Synthetic Survey,overall frequent delay route becoming difficult daily commuter,3,Daily Commuter Fare Structure & Review
MPF00049,"Overall, Please review the fare for frequent daily commuters.",3,Line 1,DN Nagar,2026-02-26,Shopping,Fare,fare_complaint,Neutral,0.03,Medium,Tourist,Not Required,English,Synthetic Review,overall please review fare frequent daily commuter,3,Daily Commuter Fare Structure & Review
MPF00050,"In my experience, The station infrastructure appeared well maintained.",5,Line 2A,Kandarpada,2026-03-06,Other,Maintenance,infrastructure,Positive,0.69,Low,General,Not Required,English,Synthetic Review,experience station infrastructure appeared well maintained,0,Coach & Infrastructure Maintenance
MPF00051,"In my experience, I felt safe throughout the journey and at the station.",5,Line 1,DN Nagar,2026-03-17,Other,Safety,platform_safety,Positive,0.63,Low,Tourist,Not Required,English,Synthetic Survey,experience felt safe throughout journey station,4,Ticket Pricing & Short Distance Fares
MPF00052,"In my experience, Buying the ticket was quick and easy.",5,Line 7,Dindoshi,2026-01-27,Daily commute,Ticketing,ticket_machine,Positive,0.66,Low,General,Resolved,English,Synthetic Review,experience buying ticket quick easy,4,Ticket Pricing & Short Distance Fares
MPF00053,"During my trip, More seating and drinking water facilities are needed.",3,Line 6,Shyam Nagar,2026-05-06,College,Facilities,lift,Neutral,0.09,Medium,Tourist,Not Required,English,Synthetic Review,trip seating drinking water facility needed,6,Station Seating & Signage Amenities
MPF00054,"During my trip, Too many passengers were packed into the train today.",1,Line 6,Swami Samarth Nagar,2026-04-08,Daily commute,Crowding,door_area_crowding,Negative,-0.35,High,General,Open,English,Synthetic Complaint,trip many passenger packed train today,7,Train & Platform Overcrowding
MPF00055,"In my experience, Broken fixtures and damaged signs should be repaired.",3,Line 3,SEEPZ,2026-02-24,Other,Maintenance,equipment,Neutral,-0.09,Medium,Student,Open,Hinglish,Synthetic Complaint,experience broken fixture damaged sign repaired,7,Train & Platform Overcrowding
MPF00056,The staff member at the counter was rude and unhelpful.,1,Line 1,DN Nagar,2026-03-15,Shopping,Staff Behaviour,security_assistance,Negative,-0.95,High,General,Not Required,English,Synthetic Survey,staff member counter rude unhelpful,5,Station Staff Behavior & Security
MPF00057,"In my experience, The station floor was dirty and bins were overflowing.",2,Line 7,Jogeshwari East,2026-01-19,Tourism,Cleanliness,coach_cleanliness,Negative,-0.69,High,Working professional,In Review,English,Synthetic Survey,experience station floor dirty bin overflowing,5,Station Staff Behavior & Security
MPF00058,The station infrastructure appeared well maintained.,4,Line 2A,Kandarpada,2026-06-03,Other,Maintenance,infrastructure,Positive,0.83,Low,Tourist,Not Required,Hinglish,Synthetic Survey,station infrastructure appeared well maintained,0,Coach & Infrastructure Maintenance
MPF00059,The station infrastructure appeared well maintained.,4,Line 3,SEEPZ,2026-07-15,Tourism,Maintenance,infrastructure,Positive,0.93,Low,General,Resolved,Hinglish,Synthetic Survey,station infrastructure appeared well maintained,0,Coach & Infrastructure Maintenance
MPF00060,"In my experience, The seating area and signage were useful.",4,Line 3,BKC,2026-06-21,Shopping,Facilities,lift,Positive,0.8,Low,Student,Not Required,English,Synthetic Review,experience seating area signage useful,6,Station Seating & Signage Amenities
MPF00061,"Today, Please review the fare for frequent daily commuters.",4,Line 2A,Kandarpada,2026-07-31,Daily commute,Fare,fare_value,Positive,0.56,Low,Senior citizen,Not Required,English,Synthetic Complaint,today please review fare frequent daily commuter,3,Daily Commuter Fare Structure & Review
MPF00062,"In my experience, The fare is reasonable for the service provided.",4,Line 6,Vikhroli,2026-02-03,Shopping,Fare,fare_complaint,Positive,0.8,Low,Tourist,Not Required,English,Synthetic Complaint,experience fare reasonable service provided,2,Train Service Delays & Inconvenience
MPF00063,"In my experience, The coach was clean and well maintained.",5,Line 3,Marol Naka,2026-08-04,College,Cleanliness,coach_cleanliness,Positive,0.83,Low,General,Not Required,English,Synthetic Survey,experience coach clean well maintained,0,Coach & Infrastructure Maintenance
MPF00064,"During my trip, Crowding near the doors made boarding difficult.",3,Line 3,Aarey JVLR,2026-05-22,Shopping,Crowding,peak_hour_crowding,Neutral,0.04,Medium,Tourist,Open,Hinglish,Synthetic Review,trip crowding near door made boarding difficult,3,Daily Commuter Fare Structure & Review
MPF00065,"During my trip, The escalator was not working and needs maintenance.",2,Line 3,MIDC,2026-03-18,Tourism,Maintenance,signage_and_fixtures,Negative,-0.75,High,Senior citizen,In Review,Hinglish,Synthetic Complaint,trip escalator working need maintenance,1,Escalator & Lift Operational Maintenance
MPF00066,"Today, Crowding near the doors made boarding difficult.",2,Line 6,Vikhroli,2026-06-28,Tourism,Crowding,peak_hour_crowding,Negative,-0.75,High,Tourist,In Review,English,Synthetic Survey,today crowding near door made boarding difficult,3,Daily Commuter Fare Structure & Review
MPF00067,"During my trip, Please train staff to respond more politely to passengers.",2,Line 6,Vikhroli,2026-01-10,Shopping,Staff Behaviour,staff_politeness,Negative,-0.53,High,Tourist,Open,Hinglish,Synthetic Review,trip please train staff respond politely passenger,7,Train & Platform Overcrowding
MPF00068,I felt safe throughout the journey and at the station.,5,Line 6,Kanjurmarg,2026-07-20,Daily commute,Safety,security_presence,Positive,0.91,Low,Working professional,Not Required,English,Synthetic Review,felt safe throughout journey station,4,Ticket Pricing & Short Distance Fares
MPF00069,"In my experience, The fare is reasonable for the service provided.",4,Line 7,Mogharpada,2026-03-02,Other,Fare,frequent_commuter_cost,Positive,0.93,Low,Tourist,Resolved,Hinglish,Synthetic Survey,experience fare reasonable service provided,2,Train Service Delays & Inconvenience
MPF00070,Please improve cleanliness in the washroom area.,2,Line 7,Dindoshi,2026-04-02,College,Cleanliness,station_cleanliness,Negative,-0.85,High,Student,Not Required,English,Synthetic Review,please improve cleanliness washroom area,6,Station Seating & Signage Amenities
MPF00071,"Overall, Please train staff to respond more politely to passengers.",2,Line 3,MIDC,2026-08-22,Tourism,Staff Behaviour,security_assistance,Negative,-0.84,High,Tourist,Open,English,Synthetic Review,overall please train staff respond politely passenger,7,Train & Platform Overcrowding
MPF00072,"During my trip, The seating area and signage were useful.",3,Line 2A,Shimpoli,2026-04-24,Shopping,Facilities,escalator,Neutral,0.08,Medium,Senior citizen,Open,English,Synthetic Survey,trip seating area signage useful,6,Station Seating & Signage Amenities
MPF00073,"During my trip, Good value for money compared with other transport options.",5,Line 6,Shyam Nagar,2026-06-29,Shopping,Fare,fare_complaint,Positive,0.95,Low,Student,Resolved,English,Synthetic Review,trip good value money compared transport option,0,Coach & Infrastructure Maintenance
MPF00074,Buying the ticket was quick and easy.,5,Line 1,Azad Nagar,2026-02-18,College,Ticketing,qr_scanner,Positive,0.85,Low,Working professional,Not Required,English,Synthetic Complaint,buying ticket quick easy,4,Ticket Pricing & Short Distance Fares
MPF00075,"Today, The coach was clean and well maintained.",4,Line 7,Dindoshi,2026-04-17,Other,Cleanliness,coach_cleanliness,Positive,0.78,Low,Working professional,Not Required,English,Synthetic Complaint,today coach clean well maintained,0,Coach & Infrastructure Maintenance
MPF00076,"In my experience, The interchange process was smooth and well signposted.",5,Line 2A,Shimpoli,2026-07-25,College,Connectivity,interchange,Positive,0.88,Low,Tourist,Resolved,Hinglish,Synthetic Review,experience interchange process smooth well signposted,0,Coach & Infrastructure Maintenance
MPF00077,"Today, Too many passengers were packed into the train today.",3,Line 3,Aarey JVLR,2026-04-05,Shopping,Crowding,platform_crowding,Neutral,-0.03,Medium,Student,Not Required,English,Synthetic Review,today many passenger packed train today,7,Train & Platform Overcrowding
MPF00078,"Overall, Good value for money compared with other transport options.",5,Line 7,Mogharpada,2026-06-12,Tourism,Fare,fare_complaint,Positive,0.56,Low,Senior citizen,Resolved,Hinglish,Synthetic Survey,overall good value money compared transport option,0,Coach & Infrastructure Maintenance
MPF00079,The station floor was dirty and bins were overflowing.,2,Line 7,Jogeshwari East,2026-04-27,Daily commute,Cleanliness,station_cleanliness,Negative,-0.35,High,Student,Open,English,Synthetic Review,station floor dirty bin overflowing,5,Station Staff Behavior & Security
MPF00080,The escalator was not working and needs maintenance.,2,Line 6,Vikhroli,2026-04-24,College,Maintenance,infrastructure,Negative,-0.58,High,Student,Open,English,Synthetic Review,escalator working need maintenance,1,Escalator & Lift Operational Maintenance
MPF00081,"Today, Security presence at the station was reassuring.",5,Line 7,Aarey,2026-06-02,Daily commute,Safety,platform_safety,Positive,0.63,Low,Tourist,Resolved,English,Synthetic Complaint,today security presence station reassuring,5,Station Staff Behavior & Security
MPF00082,"Overall, The staff member at the counter was rude and unhelpful.",1,Line 1,Versova,2026-07-18,Tourism,Staff Behaviour,staff_politeness,Negative,-0.45,High,Working professional,Open,English,Synthetic Review,overall staff member counter rude unhelpful,5,Station Staff Behavior & Security
MPF00083,"In my experience, The ticket machine was not working and caused a queue.",2,Line 6,Swami Samarth Nagar,2026-05-31,Daily commute,Ticketing,counter_queue,Negative,-0.47,High,Student,In Review,English,Synthetic Survey,experience ticket machine working caused queue,1,Escalator & Lift Operational Maintenance
MPF00084,"Today, Buying the ticket was quick and easy.",5,Line 1,DN Nagar,2026-01-28,Daily commute,Ticketing,counter_queue,Positive,0.6,Low,Tourist,Resolved,English,Synthetic Complaint,today buying ticket quick easy,4,Ticket Pricing & Short Distance Fares
MPF00085,"In my experience, The coach condition was good and everything looked maintained.",5,Line 6,Jogeshwari,2026-01-28,Daily commute,Maintenance,equipment,Positive,0.73,Low,Student,Not Required,Hinglish,Synthetic Complaint,experience coach condition good everything looked maintained,0,Coach & Infrastructure Maintenance
MPF00086,"Overall, Seats and windows were clean during my journey.",4,Line 3,Aarey JVLR,2026-05-16,Tourism,Cleanliness,station_cleanliness,Positive,0.6,Low,General,Not Required,English,Synthetic Complaint,overall seat window clean journey,4,Ticket Pricing & Short Distance Fares
MPF00087,Broken fixtures and damaged signs should be repaired.,3,Line 3,BKC,2026-03-28,Work,Maintenance,equipment,Neutral,0.04,Medium,Tourist,Open,English,Synthetic Review,broken fixture damaged sign repaired,7,Train & Platform Overcrowding
MPF00088,"During my trip, Seats and windows were clean during my journey.",5,Line 3,Marol Naka,2026-01-25,Work,Cleanliness,washroom_cleanliness,Positive,0.7,Low,Tourist,Not Required,English,Synthetic Review,trip seat window clean journey,4,Ticket Pricing & Short Distance Fares
MPF00089,"In my experience, The metro connection to other transport was convenient.",5,Line 7,Dindoshi,2026-03-15,Daily commute,Connectivity,last_mile,Positive,0.68,Low,Tourist,Resolved,English,Synthetic Survey,experience metro connection transport convenient,3,Daily Commuter Fare Structure & Review
MPF00090,"Today, The station floor was dirty and bins were overflowing.",2,Line 7,Goregaon East,2026-02-27,College,Cleanliness,station_cleanliness,Negative,-0.44,High,General,In Review,English,Synthetic Complaint,today station floor dirty bin overflowing,5,Station Staff Behavior & Security
MPF00091,"During my trip, The coach condition was good and everything looked maintained.",4,Line 6,Kanjurmarg,2026-08-11,Other,Maintenance,infrastructure,Positive,0.62,Low,Senior citizen,Not Required,Hinglish,Synthetic Survey,trip coach condition good everything looked maintained,0,Coach & Infrastructure Maintenance
MPF00092,The station floor was dirty and bins were overflowing.,1,Line 6,Vikhroli,2026-04-05,Work,Cleanliness,station_cleanliness,Negative,-0.5,High,Tourist,In Review,English,Synthetic Survey,station floor dirty bin overflowing,5,Station Staff Behavior & Security
MPF00093,"Overall, The coach condition was good and everything looked maintained.",5,Line 7,Mogharpada,2026-04-24,Daily commute,Maintenance,equipment,Positive,0.85,Low,Student,Not Required,English,Synthetic Complaint,overall coach condition good everything looked maintained,0,Coach & Infrastructure Maintenance
MPF00094,"Today, The metro connection to other transport was convenient.",4,Line 7,Dindoshi,2026-04-12,Other,Connectivity,last_mile,Positive,0.66,Low,General,Not Required,English,Synthetic Survey,today metro connection transport convenient,3,Daily Commuter Fare Structure & Review
MPF00095,"Overall, Security staff guided me properly when I asked for help.",4,Line 1,Andheri,2026-04-08,Daily commute,Staff Behaviour,security_assistance,Positive,0.67,Low,Student,Not Required,English,Synthetic Survey,overall security staff guided properly asked help,5,Station Staff Behavior & Security
MPF00096,"Today, The interchange process was smooth and well signposted.",4,Line 2A,Goregaon West,2026-07-01,Shopping,Connectivity,last_mile,Positive,0.72,Low,Student,Resolved,Hinglish,Synthetic Review,today interchange process smooth well signposted,0,Coach & Infrastructure Maintenance
MPF00097,"During my trip, Please improve cleanliness in the washroom area.",2,Line 3,SEEPZ,2026-04-22,Tourism,Cleanliness,coach_cleanliness,Negative,-0.47,High,Tourist,In Review,Hinglish,Synthetic Survey,trip please improve cleanliness washroom area,6,Station Seating & Signage Amenities
MPF00098,Broken fixtures and damaged signs should be repaired.,2,Line 2A,Poisar,2026-05-11,Other,Maintenance,signage_and_fixtures,Negative,-0.43,High,Senior citizen,Open,English,Synthetic Survey,broken fixture damaged sign repaired,7,Train & Platform Overcrowding
MPF00099,"During my trip, It was difficult to connect from the metro to the bus stop.",2,Line 1,Ghatkopar,2026-01-20,Work,Connectivity,interchange,Negative,-0.81,High,Senior citizen,Open,English,Synthetic Complaint,trip difficult connect metro bus stop,3,Daily Commuter Fare Structure & Review
MPF00100,"In my experience, Broken fixtures and damaged signs should be repaired.",3,Line 3,Marol Naka,2026-04-24,Other,Maintenance,signage_and_fixtures,Neutral,-0.04,Medium,Senior citizen,Not Required,English,Synthetic Review,experience broken fixture damaged sign repaired,7,Train & Platform Overcrowding
MPF00101,"In my experience, The coach condition was good and everything looked maintained.",4,Line 7,Goregaon East,2026-08-10,Shopping,Maintenance,infrastructure,Positive,0.67,Low,Student,Not Required,English,Synthetic Complaint,experience coach condition good everything looked maintained,0,Coach & Infrastructure Maintenance
MPF00102,"In my experience, Better last-mile connectivity would help passengers.",4,Line 6,Kanjurmarg,2026-05-02,Other,Connectivity,last_mile,Positive,0.93,Low,Student,Not Required,English,Synthetic Complaint,experience better lastmile connectivity would help passenger,7,Train & Platform Overcrowding
MPF00103,The station has clean lifts and working escalators.,5,Line 2A,Dahisar East,2026-06-06,Daily commute,Facilities,lift,Positive,0.81,Low,Working professional,Resolved,English,Synthetic Complaint,station clean lift working escalator,1,Escalator & Lift Operational Maintenance
MPF00104,"During my trip, There should be more working ticket counters during rush hours.",3,Line 7,Goregaon East,2026-06-23,Other,Ticketing,counter_queue,Neutral,-0.09,Medium,Senior citizen,Not Required,English,Synthetic Complaint,trip working ticket counter rush hour,1,Escalator & Lift Operational Maintenance
MPF00105,The escalator was not working and needs maintenance.,3,Line 7,Goregaon East,2026-06-02,College,Maintenance,signage_and_fixtures,Neutral,0.03,Medium,Senior citizen,Resolved,Hinglish,Synthetic Survey,escalator working need maintenance,1,Escalator & Lift Operational Maintenance
MPF00106,"During my trip, Better last-mile connectivity would help passengers.",3,Line 1,Versova,2026-04-03,Other,Connectivity,interchange,Neutral,0.03,Medium,General,Resolved,English,Synthetic Complaint,trip better lastmile connectivity would help passenger,7,Train & Platform Overcrowding
MPF00107,"Today, Too many passengers were packed into the train today.",2,Line 7,Goregaon East,2026-07-17,Work,Crowding,platform_crowding,Negative,-0.81,High,Working professional,Not Required,English,Synthetic Complaint,today many passenger packed train today,7,Train & Platform Overcrowding
MPF00108,"Today, The platform was overcrowded and felt unsafe.",2,Line 6,Swami Samarth Nagar,2026-01-12,Other,Safety,security_presence,Negative,-0.85,High,General,Resolved,English,Synthetic Review,today platform overcrowded felt unsafe,7,Train & Platform Overcrowding
