feedback_id,feedback_text,rating,metro_line,station,feedback_date,journey_type,issue_category,subtopic,sentiment,sentiment_score,urgency,passenger_type,resolution_status,language,data_source
MPF00011,"During my trip, The escalator was not working and needs maintenance.",2,Line 7,Mogharpada,2026-01-29,Tourism,Maintenance,equipment,Negative,-0.63,High,Student,Resolved,English,Synthetic Survey
MPF00012,Train service was running late today. Please improve punctuality.,1,Line 7,Dindoshi,2026-08-31,Daily commute,Delay,missed_connection,Negative,-0.51,High,General,Resolved,English,Synthetic Review
MPF00013,"In my experience, Better last-mile connectivity would help passengers.",3,Line 2A,Kandarpada,2026-03-05,Shopping,Connectivity,interchange,Neutral,0.04,Medium,Senior citizen,Resolved,English,Synthetic Survey
MPF00014,"Overall, Train service was running late today. Please improve punctuality.",1,Line 1,Versova,2026-05-12,Other,Delay,late_train,Negative,-0.91,High,Student,In Review,English,Synthetic Survey
MPF00015,"In my experience, The staff member at the counter was rude and unhelpful.",2,Line 7,Jogeshwari East,2026-04-21,Shopping,Staff Behaviour,staff_helpfulness,Negative,-0.67,High,Tourist,Not Required,English,Synthetic Complaint
MPF00016,The station has clean lifts and working escalators.,4,Line 3,Marol Naka,2026-02-05,College,Facilities,escalator,Positive,0.71,Low,Student,Resolved,English,Synthetic Review
MPF00017,"Today, The lift was out of service and caused inconvenience.",3,Line 2A,Kandarpada,2026-02-12,Other,Facilities,escalator,Neutral,-0.08,Medium,General,Not Required,Hinglish,Synthetic Survey
MPF00018,"Overall, Please train staff to respond more politely to passengers.",2,Line 3,Marol Naka,2026-04-19,Shopping,Staff Behaviour,security_assistance,Negative,-0.95,High,Senior citizen,Resolved,Hinglish,Synthetic Review
MPF00019,"Overall, Too many passengers were packed into the train today.",1,Line 6,Vikhroli,2026-05-30,Tourism,Crowding,door_area_crowding,Negative,-0.6,High,Student,Not Required,English,Synthetic Survey
MPF00020,The coach was extremely crowded during peak hours.,2,Line 6,Kanjurmarg,2026-06-02,Daily commute,Crowding,peak_hour_crowding,Negative,-0.91,High,Working professional,Open,English,Synthetic Complaint
MPF00021,"Overall, Good value for money compared with other transport options.",5,Line 6,Swami Samarth Nagar,2026-08-26,Shopping,Fare,fare_value,Positive,0.65,Low,Working professional,Not Required,English,Synthetic Review
MPF00022,"In my experience, The coach condition was good and everything looked maintained.",5,Line 1,Azad Nagar,2026-02-10,Work,Maintenance,equipment,Positive,0.75,Low,Senior citizen,Not Required,Hinglish,Synthetic Review
MPF00023,"In my experience, The coach condition was good and everything looked maintained.",5,Line 6,Shyam Nagar,2026-02-09,Daily commute,Maintenance,equipment,Positive,0.92,Low,Working professional,Resolved,English,Synthetic Complaint
MPF00024,"During my trip, Security staff guided me properly when I asked for help.",5,Line 7,Mogharpada,2026-03-27,Daily commute,Staff Behaviour,staff_politeness,Positive,0.75,Low,Student,Not Required,English,Synthetic Survey
MPF00025,More seating and drinking water facilities are needed.,2,Line 7,Dindoshi,2026-05-22,Other,Facilities,lift,Negative,-0.9,High,Working professional,In Review,English,Synthetic Complaint
MPF00026,Very little waiting time today; the train arrived on schedule.,5,Line 3,MIDC,2026-02-09,Work,Delay,late_train,Positive,0.63,Low,Student,Resolved,English,Synthetic Complaint
MPF00027,"During my trip, The fare is reasonable for the service provided.",4,Line 2A,Shimpoli,2026-08-08,Other,Fare,fare_complaint,Positive,0.87,Low,Working professional,Not Required,English,Synthetic Survey
MPF00028,"Overall, The seating area and signage were useful.",4,Line 2A,Shimpoli,2026-06-14,Work,Facilities,seating_and_water,Positive,0.56,Low,Tourist,Not Required,English,Synthetic Review
MPF00029,"During my trip, I felt safe throughout the journey and at the station.",5,Line 3,BKC,2026-07-21,College,Safety,security_presence,Positive,0.78,Low,Student,Not Required,English,Synthetic Complaint
MPF00030,"In my experience, The metro connection to other transport was convenient.",5,Line 3,BKC,2026-01-18,Other,Connectivity,last_mile,Positive,0.65,Low,Tourist,Not Required,English,Synthetic Review
MPF00031,"During my trip, I felt safe throughout the journey and at the station.",5,Line 7,Mogharpada,2026-02-19,Shopping,Safety,security_presence,Positive,0.67,Low,Senior citizen,Resolved,English,Synthetic Survey
MPF00032,"In my experience, The station infrastructure appeared well maintained.",3,Line 3,MIDC,2026-04-24,Work,Maintenance,equipment,Neutral,-0.04,Medium,Tourist,In Review,English,Synthetic Review
MPF00033,The lift was out of service and caused inconvenience.,2,Line 2A,Goregaon West,2026-03-21,Other,Facilities,lift,Negative,-0.64,High,General,Open,English,Synthetic Complaint
MPF00034,"Today, The train was delayed by 10 minutes and I missed my connection.",3,Line 2A,Shimpoli,2026-06-28,Daily commute,Delay,service_frequency,Neutral,0.07,Medium,Tourist,Open,English,Synthetic Complaint
MPF00035,The staff member at the counter was rude and unhelpful.,1,Line 3,Marol Naka,2026-05-23,Work,Staff Behaviour,staff_politeness,Negative,-0.48,High,Working professional,Resolved,English,Synthetic Survey
MPF00036,"In my experience, Crowding near the doors made boarding difficult.",3,Line 1,Azad Nagar,2026-04-25,Shopping,Crowding,peak_hour_crowding,Neutral,0.02,Medium,General,Resolved,English,Synthetic Complaint
MPF00037,"During my trip, The ticket machine was not working and caused a queue.",3,Line 3,Marol Naka,2026-03-11,Work,Ticketing,counter_queue,Neutral,-0.0,Medium,Senior citizen,In Review,English,Synthetic Survey
MPF00038,"Overall, The station floor was dirty and bins were overflowing.",2,Line 7,Mogharpada,2026-05-19,Other,Cleanliness,station_cleanliness,Negative,-0.53,High,Working professional,Resolved,English,Synthetic Review
MPF00039,"In my experience, Please train staff to respond more politely to passengers.",1,Line 3,Aarey JVLR,2026-07-12,Tourism,Staff Behaviour,staff_helpfulness,Negative,-0.44,High,Tourist,In Review,English,Synthetic Review
MPF00040,"Overall, It was difficult to connect from the metro to the bus stop.",2,Line 3,BKC,2026-02-12,Daily commute,Connectivity,bus_connection,Negative,-0.69,High,Tourist,Resolved,English,Synthetic Complaint
MPF00041,"In my experience, The metro connection to other transport was convenient.",5,Line 2A,Goregaon West,2026-03-08,Daily commute,Connectivity,bus_connection,Positive,0.82,Low,Tourist,Not Required,English,Synthetic Survey
MPF00042,"Today, The seating area and signage were useful.",4,Line 7,Dindoshi,2026-05-19,Shopping,Facilities,lift,Positive,0.85,Low,Senior citizen,Not Required,Hinglish,Synthetic Complaint
MPF00043,"Overall, The coach was clean and well maintained.",5,Line 7,Dindoshi,2026-05-25,Tourism,Cleanliness,coach_cleanliness,Positive,0.89,Low,Working professional,Resolved,English,Synthetic Survey
MPF00044,"In my experience, The platform was overcrowded and felt unsafe.",1,Line 3,SEEPZ,2026-06-23,Work,Safety,security_presence,Negative,-0.48,High,Senior citizen,In Review,English,Synthetic Complaint
MPF00045,"During my trip, The station floor was dirty and bins were overflowing.",3,Line 3,MIDC,2026-04-05,Tourism,Cleanliness,coach_cleanliness,Neutral,0.06,Medium,Student,Resolved,English,Synthetic Complaint
MPF00046,Frequent delays on this route are becoming difficult for daily commuters.,2,Line 6,Shyam Nagar,2026-05-14,Other,Delay,missed_connection,Negative,-0.37,High,Tourist,Open,English,Synthetic Complaint
MPF00047,"Today, Better last-mile connectivity would help passengers.",4,Line 7,Mogharpada,2026-05-26,Work,Connectivity,last_mile,Positive,0.66,Low,Student,Not Required,English,Synthetic Review
MPF00048,"Overall, Frequent delays on this route are becoming difficult for daily commuters.",2,Line 3,SEEPZ,2026-05-13,College,Delay,late_train,Negative,-0.82,High,Senior citizen,Resolved,English,Synthetic Survey
MPF00049,"Overall, Please review the fare for frequent daily commuters.",3,Line 1,DN Nagar,2026-02-26,Shopping,Fare,fare_complaint,Neutral,0.03,Medium,Tourist,Not Required,English,Synthetic Review
MPF00050,"In my experience, The station infrastructure appeared well maintained.",5,Line 2A,Kandarpada,2026-03-06,Other,Maintenance,infrastructure,Positive,0.69,Low,General,Not Required,English,Synthetic Review
MPF00051,"In my experience, I felt safe throughout the journey and at the station.",5,Line 1,DN Nagar,2026-03-17,Other,Safety,platform_safety,Positive,0.63,Low,Tourist,Not Required,English,Synthetic Survey
MPF00052,"In my experience, Buying the ticket was quick and easy.",5,Line 7,Dindoshi,2026-01-27,Daily commute,Ticketing,ticket_machine,Positive,0.66,Low,General,Resolved,English,Synthetic Review
MPF00053,"During my trip, More seating and drinking water facilities are needed.",3,Line 6,Shyam Nagar,2026-05-06,College,Facilities,lift,Neutral,0.09,Medium,Tourist,Not Required,English,Synthetic Review
MPF00054,"During my trip, Too many passengers were packed into the train today.",1,Line 6,Swami Samarth Nagar,2026-04-08,Daily commute,Crowding,door_area_crowding,Negative,-0.35,High,General,Open,English,Synthetic Complaint
MPF00055,"In my experience, Broken fixtures and damaged signs should be repaired.",3,Line 3,SEEPZ,2026-02-24,Other,Maintenance,equipment,Neutral,-0.09,Medium,Student,Open,Hinglish,Synthetic Complaint
MPF00056,The staff member at the counter was rude and unhelpful.,1,Line 1,DN Nagar,2026-03-15,Shopping,Staff Behaviour,security_assistance,Negative,-0.95,High,General,Not Required,English,Synthetic Survey
MPF00057,"In my experience, The station floor was dirty and bins were overflowing.",2,Line 7,Jogeshwari East,2026-01-19,Tourism,Cleanliness,coach_cleanliness,Negative,-0.69,High,Working professional,In Review,English,Synthetic Survey
MPF00058,The station infrastructure appeared well maintained.,4,Line 2A,Kandarpada,2026-06-03,Other,Maintenance,infrastructure,Positive,0.83,Low,Tourist,Not Required,Hinglish,Synthetic Survey
MPF00059,The station infrastructure appeared well maintained.,4,Line 3,SEEPZ,2026-07-15,Tourism,Maintenance,infrastructure,Positive,0.93,Low,General,Resolved,Hinglish,Synthetic Survey
MPF00060,"In my experience, The seating area and signage were useful.",4,Line 3,BKC,2026-06-21,Shopping,Facilities,lift,Positive,0.8,Low,Student,Not Required,English,Synthetic Review
MPF00061,"Today, Please review the fare for frequent daily commuters.",4,Line 2A,Kandarpada,2026-07-31,Daily commute,Fare,fare_value,Positive,0.56,Low,Senior citizen,Not Required,English,Synthetic Complaint
MPF00062,"In my experience, The fare is reasonable for the service provided.",4,Line 6,Vikhroli,2026-02-03,Shopping,Fare,fare_complaint,Positive,0.8,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00063,"In my experience, The coach was clean and well maintained.",5,Line 3,Marol Naka,2026-08-04,College,Cleanliness,coach_cleanliness,Positive,0.83,Low,General,Not Required,English,Synthetic Survey
MPF00064,"During my trip, Crowding near the doors made boarding difficult.",3,Line 3,Aarey JVLR,2026-05-22,Shopping,Crowding,peak_hour_crowding,Neutral,0.04,Medium,Tourist,Open,Hinglish,Synthetic Review
MPF00065,"During my trip, The escalator was not working and needs maintenance.",2,Line 3,MIDC,2026-03-18,Tourism,Maintenance,signage_and_fixtures,Negative,-0.75,High,Senior citizen,In Review,Hinglish,Synthetic Complaint
MPF00066,"Today, Crowding near the doors made boarding difficult.",2,Line 6,Vikhroli,2026-06-28,Tourism,Crowding,peak_hour_crowding,Negative,-0.75,High,Tourist,In Review,English,Synthetic Survey
MPF00067,"During my trip, Please train staff to respond more politely to passengers.",2,Line 6,Vikhroli,2026-01-10,Shopping,Staff Behaviour,staff_politeness,Negative,-0.53,High,Tourist,Open,Hinglish,Synthetic Review
MPF00068,I felt safe throughout the journey and at the station.,5,Line 6,Kanjurmarg,2026-07-20,Daily commute,Safety,security_presence,Positive,0.91,Low,Working professional,Not Required,English,Synthetic Review
MPF00069,"In my experience, The fare is reasonable for the service provided.",4,Line 7,Mogharpada,2026-03-02,Other,Fare,frequent_commuter_cost,Positive,0.93,Low,Tourist,Resolved,Hinglish,Synthetic Survey
MPF00070,Please improve cleanliness in the washroom area.,2,Line 7,Dindoshi,2026-04-02,College,Cleanliness,station_cleanliness,Negative,-0.85,High,Student,Not Required,English,Synthetic Review
MPF00071,"Overall, Please train staff to respond more politely to passengers.",2,Line 3,MIDC,2026-08-22,Tourism,Staff Behaviour,security_assistance,Negative,-0.84,High,Tourist,Open,English,Synthetic Review
MPF00072,"During my trip, The seating area and signage were useful.",3,Line 2A,Shimpoli,2026-04-24,Shopping,Facilities,escalator,Neutral,0.08,Medium,Senior citizen,Open,English,Synthetic Survey
MPF00073,"During my trip, Good value for money compared with other transport options.",5,Line 6,Shyam Nagar,2026-06-29,Shopping,Fare,fare_complaint,Positive,0.95,Low,Student,Resolved,English,Synthetic Review
MPF00074,Buying the ticket was quick and easy.,5,Line 1,Azad Nagar,2026-02-18,College,Ticketing,qr_scanner,Positive,0.85,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00075,"Today, The coach was clean and well maintained.",4,Line 7,Dindoshi,2026-04-17,Other,Cleanliness,coach_cleanliness,Positive,0.78,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00076,"In my experience, The interchange process was smooth and well signposted.",5,Line 2A,Shimpoli,2026-07-25,College,Connectivity,interchange,Positive,0.88,Low,Tourist,Resolved,Hinglish,Synthetic Review
MPF00077,"Today, Too many passengers were packed into the train today.",3,Line 3,Aarey JVLR,2026-04-05,Shopping,Crowding,platform_crowding,Neutral,-0.03,Medium,Student,Not Required,English,Synthetic Review
MPF00078,"Overall, Good value for money compared with other transport options.",5,Line 7,Mogharpada,2026-06-12,Tourism,Fare,fare_complaint,Positive,0.56,Low,Senior citizen,Resolved,Hinglish,Synthetic Survey
MPF00079,The station floor was dirty and bins were overflowing.,2,Line 7,Jogeshwari East,2026-04-27,Daily commute,Cleanliness,station_cleanliness,Negative,-0.35,High,Student,Open,English,Synthetic Review
MPF00080,The escalator was not working and needs maintenance.,2,Line 6,Vikhroli,2026-04-24,College,Maintenance,infrastructure,Negative,-0.58,High,Student,Open,English,Synthetic Review
MPF00081,"Today, Security presence at the station was reassuring.",5,Line 7,Aarey,2026-06-02,Daily commute,Safety,platform_safety,Positive,0.63,Low,Tourist,Resolved,English,Synthetic Complaint
MPF00082,"Overall, The staff member at the counter was rude and unhelpful.",1,Line 1,Versova,2026-07-18,Tourism,Staff Behaviour,staff_politeness,Negative,-0.45,High,Working professional,Open,English,Synthetic Review
MPF00083,"In my experience, The ticket machine was not working and caused a queue.",2,Line 6,Swami Samarth Nagar,2026-05-31,Daily commute,Ticketing,counter_queue,Negative,-0.47,High,Student,In Review,English,Synthetic Survey
MPF00084,"Today, Buying the ticket was quick and easy.",5,Line 1,DN Nagar,2026-01-28,Daily commute,Ticketing,counter_queue,Positive,0.6,Low,Tourist,Resolved,English,Synthetic Complaint
MPF00085,"In my experience, The coach condition was good and everything looked maintained.",5,Line 6,Jogeshwari,2026-01-28,Daily commute,Maintenance,equipment,Positive,0.73,Low,Student,Not Required,Hinglish,Synthetic Complaint
MPF00086,"Overall, Seats and windows were clean during my journey.",4,Line 3,Aarey JVLR,2026-05-16,Tourism,Cleanliness,station_cleanliness,Positive,0.6,Low,General,Not Required,English,Synthetic Complaint
MPF00087,Broken fixtures and damaged signs should be repaired.,3,Line 3,BKC,2026-03-28,Work,Maintenance,equipment,Neutral,0.04,Medium,Tourist,Open,English,Synthetic Review
MPF00088,"During my trip, Seats and windows were clean during my journey.",5,Line 3,Marol Naka,2026-01-25,Work,Cleanliness,washroom_cleanliness,Positive,0.7,Low,Tourist,Not Required,English,Synthetic Review
MPF00089,"In my experience, The metro connection to other transport was convenient.",5,Line 7,Dindoshi,2026-03-15,Daily commute,Connectivity,last_mile,Positive,0.68,Low,Tourist,Resolved,English,Synthetic Survey
MPF00090,"Today, The station floor was dirty and bins were overflowing.",2,Line 7,Goregaon East,2026-02-27,College,Cleanliness,station_cleanliness,Negative,-0.44,High,General,In Review,English,Synthetic Complaint
MPF00091,"During my trip, The coach condition was good and everything looked maintained.",4,Line 6,Kanjurmarg,2026-08-11,Other,Maintenance,infrastructure,Positive,0.62,Low,Senior citizen,Not Required,Hinglish,Synthetic Survey
MPF00092,The station floor was dirty and bins were overflowing.,1,Line 6,Vikhroli,2026-04-05,Work,Cleanliness,station_cleanliness,Negative,-0.5,High,Tourist,In Review,English,Synthetic Survey
MPF00093,"Overall, The coach condition was good and everything looked maintained.",5,Line 7,Mogharpada,2026-04-24,Daily commute,Maintenance,equipment,Positive,0.85,Low,Student,Not Required,English,Synthetic Complaint
MPF00094,"Today, The metro connection to other transport was convenient.",4,Line 7,Dindoshi,2026-04-12,Other,Connectivity,last_mile,Positive,0.66,Low,General,Not Required,English,Synthetic Survey
MPF00095,"Overall, Security staff guided me properly when I asked for help.",4,Line 1,Andheri,2026-04-08,Daily commute,Staff Behaviour,security_assistance,Positive,0.67,Low,Student,Not Required,English,Synthetic Survey
MPF00096,"Today, The interchange process was smooth and well signposted.",4,Line 2A,Goregaon West,2026-07-01,Shopping,Connectivity,last_mile,Positive,0.72,Low,Student,Resolved,Hinglish,Synthetic Review
MPF00097,"During my trip, Please improve cleanliness in the washroom area.",2,Line 3,SEEPZ,2026-04-22,Tourism,Cleanliness,coach_cleanliness,Negative,-0.47,High,Tourist,In Review,Hinglish,Synthetic Survey
MPF00098,Broken fixtures and damaged signs should be repaired.,2,Line 2A,Poisar,2026-05-11,Other,Maintenance,signage_and_fixtures,Negative,-0.43,High,Senior citizen,Open,English,Synthetic Survey
MPF00099,"During my trip, It was difficult to connect from the metro to the bus stop.",2,Line 1,Ghatkopar,2026-01-20,Work,Connectivity,interchange,Negative,-0.81,High,Senior citizen,Open,English,Synthetic Complaint
MPF00100,"In my experience, Broken fixtures and damaged signs should be repaired.",3,Line 3,Marol Naka,2026-04-24,Other,Maintenance,signage_and_fixtures,Neutral,-0.04,Medium,Senior citizen,Not Required,English,Synthetic Review
MPF00101,"In my experience, The coach condition was good and everything looked maintained.",4,Line 7,Goregaon East,2026-08-10,Shopping,Maintenance,infrastructure,Positive,0.67,Low,Student,Not Required,English,Synthetic Complaint
MPF00102,"In my experience, Better last-mile connectivity would help passengers.",4,Line 6,Kanjurmarg,2026-05-02,Other,Connectivity,last_mile,Positive,0.93,Low,Student,Not Required,English,Synthetic Complaint
MPF00103,The station has clean lifts and working escalators.,5,Line 2A,Dahisar East,2026-06-06,Daily commute,Facilities,lift,Positive,0.81,Low,Working professional,Resolved,English,Synthetic Complaint
MPF00104,"During my trip, There should be more working ticket counters during rush hours.",3,Line 7,Goregaon East,2026-06-23,Other,Ticketing,counter_queue,Neutral,-0.09,Medium,Senior citizen,Not Required,English,Synthetic Complaint
MPF00105,The escalator was not working and needs maintenance.,3,Line 7,Goregaon East,2026-06-02,College,Maintenance,signage_and_fixtures,Neutral,0.03,Medium,Senior citizen,Resolved,Hinglish,Synthetic Survey
MPF00106,"During my trip, Better last-mile connectivity would help passengers.",3,Line 1,Versova,2026-04-03,Other,Connectivity,interchange,Neutral,0.03,Medium,General,Resolved,English,Synthetic Complaint
MPF00107,"Today, Too many passengers were packed into the train today.",2,Line 7,Goregaon East,2026-07-17,Work,Crowding,platform_crowding,Negative,-0.81,High,Working professional,Not Required,English,Synthetic Complaint
MPF00108,"Today, The platform was overcrowded and felt unsafe.",2,Line 6,Swami Samarth Nagar,2026-01-12,Other,Safety,security_presence,Negative,-0.85,High,General,Resolved,English,Synthetic Review
MPF00109,"Today, The seating area and signage were useful.",4,Line 7,Dindoshi,2026-08-31,College,Facilities,seating_and_water,Positive,0.76,Low,Tourist,Not Required,Hinglish,Synthetic Complaint
MPF00110,"In my experience, There should be more working ticket counters during rush hours.",2,Line 3,Marol Naka,2026-06-14,Work,Ticketing,counter_queue,Negative,-0.37,High,General,In Review,English,Synthetic Survey
MPF00111,The coach was clean and well maintained.,5,Line 7,Mogharpada,2026-08-15,Tourism,Cleanliness,station_cleanliness,Positive,0.66,Low,Working professional,Not Required,Hinglish,Synthetic Review
MPF00112,"During my trip, Frequent delays on this route are becoming difficult for daily commuters.",2,Line 1,Azad Nagar,2026-06-16,Daily commute,Delay,service_frequency,Negative,-0.72,High,Senior citizen,Open,English,Synthetic Complaint
MPF00113,"Overall, Very little waiting time today; the train arrived on schedule.",5,Line 2A,Shimpoli,2026-08-29,Daily commute,Delay,missed_connection,Positive,0.73,Low,Student,Not Required,English,Synthetic Complaint
MPF00114,"Overall, The fare is reasonable for the service provided.",4,Line 6,Kanjurmarg,2026-08-03,Work,Fare,fare_complaint,Positive,0.6,Low,Tourist,Not Required,English,Synthetic Survey
MPF00115,"Overall, Train service was running late today. Please improve punctuality.",2,Line 6,Kanjurmarg,2026-06-21,Tourism,Delay,late_train,Negative,-0.69,High,Senior citizen,Open,English,Synthetic Complaint
MPF00116,"Today, The coach was clean and well maintained.",4,Line 6,Shyam Nagar,2026-03-03,College,Cleanliness,washroom_cleanliness,Positive,0.8,Low,Senior citizen,Not Required,English,Synthetic Review
MPF00117,"During my trip, The platform was overcrowded and felt unsafe.",3,Line 1,Ghatkopar,2026-05-03,Other,Safety,general_safety,Neutral,-0.03,Medium,Working professional,Resolved,Hinglish,Synthetic Complaint
MPF00118,"During my trip, Please improve cleanliness in the washroom area.",2,Line 2A,Shimpoli,2026-04-12,Work,Cleanliness,washroom_cleanliness,Negative,-0.92,High,Student,In Review,English,Synthetic Complaint
MPF00119,"During my trip, Train service was running late today. Please improve punctuality.",1,Line 3,SEEPZ,2026-07-10,College,Delay,service_frequency,Negative,-0.43,High,Senior citizen,In Review,English,Synthetic Review
MPF00120,"Today, Crowding near the doors made boarding difficult.",2,Line 3,SEEPZ,2026-04-21,Tourism,Crowding,platform_crowding,Negative,-0.4,High,Senior citizen,Resolved,English,Synthetic Survey
MPF00121,The QR ticket scanner worked smoothly.,5,Line 2A,Goregaon West,2026-04-24,College,Ticketing,counter_queue,Positive,0.81,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00122,Please improve passenger safety near the platform edge.,1,Line 3,Aarey JVLR,2026-08-06,Shopping,Safety,general_safety,Negative,-0.55,High,Senior citizen,Open,English,Synthetic Survey
MPF00123,"During my trip, The coach was extremely crowded during peak hours.",2,Line 3,Aarey JVLR,2026-04-06,Tourism,Crowding,door_area_crowding,Negative,-0.72,High,Student,Resolved,English,Synthetic Review
MPF00124,"During my trip, The train had comfortable space and was not crowded.",5,Line 1,Ghatkopar,2026-08-22,Daily commute,Crowding,platform_crowding,Positive,0.65,Low,Student,Resolved,English,Synthetic Review
MPF00125,"In my experience, There should be more working ticket counters during rush hours.",2,Line 1,Versova,2026-02-14,Shopping,Ticketing,qr_scanner,Negative,-0.53,High,Working professional,Not Required,English,Synthetic Review
MPF00126,Security presence at the station was reassuring.,5,Line 3,Aarey JVLR,2026-02-27,College,Safety,platform_safety,Positive,0.77,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00127,"During my trip, Please train staff to respond more politely to passengers.",3,Line 2A,Shimpoli,2026-03-21,Shopping,Staff Behaviour,staff_helpfulness,Neutral,0.01,Medium,General,Not Required,English,Synthetic Survey
MPF00128,Please review the fare for frequent daily commuters.,3,Line 3,BKC,2026-08-13,Other,Fare,frequent_commuter_cost,Neutral,0.09,Medium,Student,In Review,English,Synthetic Survey
MPF00129,Crowding near the doors made boarding difficult.,1,Line 6,Jogeshwari,2026-08-31,College,Crowding,platform_crowding,Negative,-0.64,High,Working professional,Open,English,Synthetic Review
MPF00130,"In my experience, The ticket machine was not working and caused a queue.",2,Line 7,Aarey,2026-08-30,College,Ticketing,qr_scanner,Negative,-0.87,High,General,Open,English,Synthetic Complaint
MPF00131,The station infrastructure appeared well maintained.,3,Line 2A,Shimpoli,2026-04-17,Other,Maintenance,signage_and_fixtures,Neutral,-0.08,Medium,General,Open,English,Synthetic Complaint
MPF00132,"During my trip, The interchange process was smooth and well signposted.",5,Line 1,Azad Nagar,2026-02-10,Other,Connectivity,bus_connection,Positive,0.65,Low,Tourist,Resolved,English,Synthetic Survey
MPF00133,"In my experience, The lift was out of service and caused inconvenience.",2,Line 3,Marol Naka,2026-02-03,Other,Facilities,escalator,Negative,-0.76,High,Senior citizen,In Review,English,Synthetic Review
MPF00134,"Today, Seats and windows were clean during my journey.",4,Line 6,Kanjurmarg,2026-04-18,Work,Cleanliness,coach_cleanliness,Positive,0.66,Low,Working professional,Not Required,English,Synthetic Complaint
MPF00135,"Overall, The station infrastructure appeared well maintained.",4,Line 2A,Kandarpada,2026-08-30,Shopping,Maintenance,equipment,Positive,0.95,Low,Tourist,Not Required,Hinglish,Synthetic Survey
MPF00136,"During my trip, The staff member at the counter was rude and unhelpful.",1,Line 6,Vikhroli,2026-05-18,Shopping,Staff Behaviour,staff_politeness,Negative,-0.92,High,General,Resolved,Hinglish,Synthetic Review
MPF00137,"During my trip, The train had comfortable space and was not crowded.",5,Line 1,Azad Nagar,2026-03-15,Shopping,Crowding,peak_hour_crowding,Positive,0.7,Low,Student,Not Required,English,Synthetic Complaint
MPF00138,"In my experience, The seating area and signage were useful.",3,Line 3,BKC,2026-08-29,Daily commute,Facilities,escalator,Neutral,-0.07,Medium,Tourist,In Review,English,Synthetic Complaint
MPF00139,Broken fixtures and damaged signs should be repaired.,1,Line 2A,Shimpoli,2026-06-05,Other,Maintenance,signage_and_fixtures,Negative,-0.93,High,Senior citizen,Resolved,English,Synthetic Survey
MPF00140,"Today, The station infrastructure appeared well maintained.",5,Line 2A,Kandarpada,2026-03-18,College,Maintenance,equipment,Positive,0.85,Low,General,Resolved,English,Synthetic Complaint
MPF00141,"In my experience, I felt safe throughout the journey and at the station.",5,Line 1,Versova,2026-05-28,Other,Safety,platform_safety,Positive,0.87,Low,Student,Resolved,English,Synthetic Complaint
MPF00142,"In my experience, The lift was out of service and caused inconvenience.",2,Line 1,Ghatkopar,2026-01-05,Other,Facilities,escalator,Negative,-0.86,High,Working professional,Not Required,English,Synthetic Survey
MPF00143,"Overall, Crowding near the doors made boarding difficult.",2,Line 7,Jogeshwari East,2026-02-05,Tourism,Crowding,platform_crowding,Negative,-0.65,High,Tourist,Not Required,Hinglish,Synthetic Complaint
